广东频道,#genre#
深圳卫视,http://27.10.134.196:8001/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://27.11.36.55:8001/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://114.236.159.169:8001/rtp/239.49.8.145:6000$1920x1080
深圳卫视,http://183.185.222.245:8083/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://121.228.138.59:4000/rtp/239.49.8.145:6000$1920x1080
深圳卫视,http://221.198.182.240:8888/rtp/225.1.1.117:5002$1920x1080
央视频道,#genre#
CCTV-1,http://118.81.48.104:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://218.0.168.126:8888/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://222.68.72.9:5555/rtp/239.45.3.145:5140$1920x1080
CCTV-1,http://119.98.124.146:4022/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://115.171.216.56:4000/rtp/225.1.8.1:8008$1920x1080
CCTV-1,http://171.120.57.130:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://27.11.63.14:8001/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://27.10.134.196:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://223.199.159.148:2222/rtp/239.253.64.120:5140$1920x1080
CCTV-1,http://27.11.54.45:8001/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://183.185.167.58:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://ayolee.com:5253/rtp/239.93.0.184:5140$1920x1080
CCTV-1,http://27.11.54.45:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://27.10.210.156:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://123.123.167.240:8000/rtp/239.3.1.129:8008$1920x1080
CCTV-2,http://183.185.41.93:8085/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://183.185.13.120:8084/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://27.11.49.234:8002/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://119.98.133.99:4022/rtp/239.69.1.102:10250$1920x1080
CCTV-2,http://27.184.17.184:4022/rtp/239.254.200.158:6000$1920x1080
CCTV-2,http://xeace.cn:8888/rtp/239.93.1.23:6000$1920x1080
CCTV-2,http://27.10.73.84:8001/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://183.191.44.12:8083/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://183.184.170.93:8002/rtp/226.0.2.154:9144$1920x1080
CCTV-2,http://60.168.224.192:2000/rtp/238.1.78.235:7752$1920x1080
CCTV-2,http://27.9.90.45:8002/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://113.206.119.145:8002/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://123.145.74.130:8002/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://118.112.148.249:4022/rtp/239.93.1.23:6000$1920x1080
CCTV-2,http://59.172.86.59:8686/rtp/239.69.1.102:10250$1920x1080
CCTV-3,http://183.185.41.93:8085/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://113.206.119.145:8002/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://183.185.13.120:8084/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://27.10.73.84:8001/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://123.145.74.130:8002/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://27.11.49.234:8002/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://183.184.170.93:8002/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://xeace.cn:8888/rtp/239.93.1.11:2223$1920x1080
CCTV-3,http://119.98.133.99:4022/rtp/239.69.1.122:10370$1920x1080
CCTV-3,http://27.9.90.45:8002/rtp/225.0.4.142:7980$1920x1080
CCTV-3,http://202.103.213.43:8888/rtp/239.81.0.231:4056$1920x1080
CCTV-3,http://183.191.44.12:8083/rtp/226.0.2.208:9576$1920x1080
CCTV-3,http://118.112.148.249:4022/rtp/239.93.1.11:2223$1920x1080
CCTV-3,http://60.168.224.192:2000/rtp/238.1.78.170:7232$1920x1080
CCTV-3,http://171.213.137.173:8088/rtp/239.93.1.11:2223$1920x1080
CCTV-4,http://183.191.44.12:8083/rtp/226.0.2.156:9160$1920x1080
CCTV-4,http://183.185.41.93:8085/rtp/226.0.2.156:9160$1920x1080
CCTV-4,http://183.185.13.120:8084/rtp/226.0.2.156:9160$1920x1080
CCTV-4,http://123.145.72.208:8001/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://123.145.74.130:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://27.11.49.234:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://113.206.119.145:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://27.9.90.45:8002/rtp/225.0.4.176:7980$1920x1080
CCTV-4,http://xeace.cn:8888/rtp/239.93.1.105:5140$1920x1080
CCTV-4,http://118.112.148.249:4022/rtp/239.93.1.105:5140$1920x1080
CCTV-4,http://60.168.224.192:2000/rtp/238.1.78.236:7760$1920x1080
CCTV-4,http://123.113.236.69:8012/rtp/239.3.1.213:4220$1920x1080
CCTV-4,http://59.172.86.59:8686/rtp/239.69.1.138:10466$1920x1080
CCTV-4,http://171.213.129.5:58888/rtp/239.93.1.105:5140$1920x1080
CCTV-4,http://171.213.137.173:8088/rtp/239.93.1.105:5140$1920x1080
CCTV-5,http://123.144.31.253:8002/rtp/225.0.4.143:7980$1920x1080
CCTV-5,http://60.220.163.52:8000/rtp/226.0.2.209:9584$1920x1080
CCTV-5,http://60.220.163.52:8000/rtp/226.0.2.22:8088$720x576
CCTV-5,http://118.81.48.104:8085/rtp/226.0.2.209:9584
CCTV-5,http://118.81.48.104:8082/rtp/226.0.2.209:9584
CCTV-5,http://171.120.57.130:8085/rtp/226.0.2.209:9584
CCTV-5,http://118.81.48.104:8085/rtp/226.0.2.22:8088
CCTV-5,http://118.81.48.104:8082/rtp/226.0.2.22:8088
CCTV-5,http://171.120.57.130:8085/rtp/226.0.2.22:8088
CCTV-5,http://27.10.76.34:8001/rtp/225.0.4.143:7980
CCTV-5,http://218.0.168.126:8888/rtp/233.50.201.197:5140
CCTV-5,http://218.0.168.126:8888/rtp/233.50.201.17:5140
CCTV-5,http://223.199.159.148:2222/rtp/239.253.64.245:5140
CCTV-5,http://27.10.76.34:8008/rtp/225.0.4.143:7980
CCTV-5,http://220.188.231.24:9999/rtp/233.50.201.197:5140
CCTV-5+,http://123.144.31.253:8002/rtp/225.0.4.73:7980$1920x1080
CCTV-5+,http://60.220.163.52:8000/rtp/226.0.2.168:9256$1920x1080
CCTV-5+,http://118.81.48.104:8085/rtp/226.0.2.168:9256
CCTV-5+,http://118.81.48.104:8082/rtp/226.0.2.168:9256
CCTV-5+,http://171.120.57.130:8085/rtp/226.0.2.168:9256
CCTV-5+,http://27.10.76.34:8001/rtp/225.0.4.73:7980
CCTV-5+,http://218.0.168.126:8888/rtp/233.50.201.220:5140
CCTV-5+,http://223.199.159.148:2222/rtp/239.253.64.100:5140
CCTV-5+,http://27.10.76.34:8008/rtp/225.0.4.73:7980
CCTV-5+,http://220.188.231.24:9999/rtp/233.50.201.220:5140
CCTV-5+,http://wouu.net:9977/rtp/239.93.1.36:8004
CCTV-5+,http://27.10.76.34:8005/rtp/225.0.4.73:7980
CCTV-5+,http://61.134.241.88:8083/rtp/226.0.2.168:9256
CCTV-5+,http://27.11.36.55:8002/rtp/225.0.4.73:7980
CCTV-5+,http://27.10.128.93:8001/rtp/225.0.4.73:7980
CCTV-6,http://60.220.163.52:8000/rtp/226.0.2.210:9592$1920x1080
CCTV-6,http://60.220.163.52:8000/rtp/226.0.2.23:8096$720x576
CCTV-6,http://118.81.48.104:8085/rtp/226.0.2.210:9592
CCTV-6,http://118.81.48.104:8082/rtp/226.0.2.210:9592
CCTV-6,http://171.120.57.130:8085/rtp/226.0.2.210:9592
CCTV-6,http://118.81.48.104:8085/rtp/226.0.2.23:8096
CCTV-6,http://118.81.48.104:8082/rtp/226.0.2.23:8096
CCTV-6,http://171.120.57.130:8085/rtp/226.0.2.23:8096
CCTV-6,http://27.10.76.34:8001/rtp/225.0.4.144:7980
CCTV-6,http://218.0.168.126:8888/rtp/233.50.201.198:5140
CCTV-6,http://218.0.168.126:8888/rtp/233.50.201.18:5140
CCTV-6,http://223.199.159.148:2222/rtp/239.253.64.246:5140
CCTV-6,http://27.10.76.34:8008/rtp/225.0.4.144:7980
CCTV-6,http://220.188.231.24:9999/rtp/233.50.201.198:5140
CCTV-6,http://220.188.231.24:9999/rtp/233.50.201.18:5140
CCTV-7,http://123.113.34.218:4022/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://123.146.206.19:8888/rtp/225.0.4.127:7980$1920x1080
CCTV-7,http://111.193.225.167:8888/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://118.81.48.104:8085/rtp/226.0.2.159:9184
CCTV-7,http://118.81.48.104:8082/rtp/226.0.2.159:9184
CCTV-7,http://171.120.57.130:8085/rtp/226.0.2.159:9184
CCTV-7,http://118.81.48.104:8085/rtp/226.0.2.24:8104
CCTV-7,http://118.81.48.104:8082/rtp/226.0.2.24:8104
CCTV-7,http://171.120.57.130:8085/rtp/226.0.2.24:8104
CCTV-7,http://27.10.76.34:8001/rtp/225.0.4.127:7980
CCTV-7,http://218.0.168.126:8888/rtp/233.50.201.120:5140
CCTV-7,http://218.0.168.126:8888/rtp/233.50.201.7:5140
CCTV-7,http://223.199.159.148:2222/rtp/239.253.64.54:5140
CCTV-7,http://223.199.159.148:2222/rtp/239.253.64.16:5140
CCTV-7,http://27.10.76.34:8008/rtp/225.0.4.127:7980
CCTV-8,http://123.113.34.218:4022/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://111.193.225.167:8888/rtp/239.3.1.175:8001$1920x1080
CCTV-8,http://123.146.206.19:8888/rtp/225.0.4.137:7980$1920x1080
CCTV-8,http://118.81.48.104:8085/rtp/226.0.2.211:9600
CCTV-8,http://118.81.48.104:8082/rtp/226.0.2.211:9600
CCTV-8,http://171.120.57.130:8085/rtp/226.0.2.211:9600
CCTV-8,http://118.81.48.104:8085/rtp/226.0.2.25:8112
CCTV-8,http://118.81.48.104:8082/rtp/226.0.2.25:8112
CCTV-8,http://171.120.57.130:8085/rtp/226.0.2.25:8112
CCTV-8,http://27.10.76.34:8001/rtp/225.0.4.137:7980
CCTV-8,http://218.0.168.126:8888/rtp/233.50.201.199:5140
CCTV-8,http://218.0.168.126:8888/rtp/233.50.201.19:5140
CCTV-8,http://223.199.159.148:2222/rtp/239.253.64.247:5140
CCTV-8,http://27.10.76.34:8008/rtp/225.0.4.137:7980
CCTV-8,http://220.188.231.24:9999/rtp/233.50.201.199:5140
CCTV-9,http://118.81.48.104:8085/rtp/226.0.2.161:9200
CCTV-9,http://118.81.48.104:8082/rtp/226.0.2.161:9200
CCTV-9,http://171.120.57.130:8085/rtp/226.0.2.161:9200
CCTV-9,http://118.81.48.104:8085/rtp/226.0.2.26:8120
CCTV-9,http://118.81.48.104:8082/rtp/226.0.2.26:8120
CCTV-9,http://171.120.57.130:8085/rtp/226.0.2.26:8120
CCTV-9,http://27.10.76.34:8001/rtp/225.0.4.131:7980
CCTV-9,http://218.0.168.126:8888/rtp/233.50.201.121:5140
CCTV-9,http://223.199.159.148:2222/rtp/239.253.64.76:5140
